2019-Nov-03 15:03:22.941624 INFO [daemon] fedoragold v1.1.5.1()
2019-Nov-03 15:03:22.941707 INFO [daemon] Module folder: ./fedoragold_daemon
2019-Nov-03 15:03:22.942233 INFO [daemon] Initializing p2p server...
2019-Nov-03 15:03:23.840815 INFO [node_server] Binding on 0.0.0.0:30158
2019-Nov-03 15:03:23.840899 INFO [node_server] Net service binded on 0.0.0.0:30158
2019-Nov-03 15:03:23.840921 INFO [node_server] Attempting to add IGD port mapping.
2019-Nov-03 15:03:27.851616 INFO [node_server] No IGD was found.
2019-Nov-03 15:03:27.851703 INFO [daemon] P2p server initialized OK
2019-Nov-03 15:03:27.851722 INFO [daemon] Initializing core...
2019-Nov-03 15:03:27.932928 INFO [Blockchain] Loading blockchain...
2019-Nov-03 15:03:27.936883 INFO [Blockchain] No recent blockchain cache found, rebuilding internal structures...
2019-Nov-03 15:03:27.936938 INFO [Blockchain] Height 0 of 1308374
2019-Nov-03 15:03:27.973055 INFO [Blockchain] Height 1000 of 1308374
2019-Nov-03 15:03:28.013412 INFO [Blockchain] Height 2000 of 1308374
2019-Nov-03 15:03:28.056965 INFO [Blockchain] Height 3000 of 1308374
2019-Nov-03 15:03:28.103137 INFO [Blockchain] Height 4000 of 1308374
2019-Nov-03 15:03:28.139041 INFO [Blockchain] Height 5000 of 1308374
2019-Nov-03 15:03:28.195161 INFO [Blockchain] Height 6000 of 1308374
2019-Nov-03 15:03:28.272706 INFO [Blockchain] Height 7000 of 1308374
2019-Nov-03 15:03:28.321373 INFO [Blockchain] Height 8000 of 1308374
2019-Nov-03 15:03:28.363413 INFO [Blockchain] Height 9000 of 1308374
2019-Nov-03 15:03:28.407399 INFO [Blockchain] Height 10000 of 1308374
2019-Nov-03 15:03:28.450459 INFO [Blockchain] Height 11000 of 1308374
2019-Nov-03 15:03:28.493846 INFO [Blockchain] Height 12000 of 1308374
2019-Nov-03 15:03:28.551511 INFO [Blockchain] Height 13000 of 1308374
2019-Nov-03 15:03:28.603571 INFO [Blockchain] Height 14000 of 1308374
2019-Nov-03 15:03:28.645575 INFO [Blockchain] Height 15000 of 1308374
2019-Nov-03 15:03:28.711227 INFO [Blockchain] Height 16000 of 1308374
2019-Nov-03 15:03:28.761299 INFO [Blockchain] Height 17000 of 1308374
2019-Nov-03 15:03:28.807955 INFO [Blockchain] Height 18000 of 1308374
2019-Nov-03 15:03:28.851517 INFO [Blockchain] Height 19000 of 1308374
